,Country,Date Start,Description of measure implemented
1343,Kazakhstan,"Mar 16, 2020","On 15 March, President of Kazakhstan introduced a state of emergency throughout the Republic of Kazakhstan for the period from 08:00 a.m. of March 16, 2020 until 07:00 a.m. of April 15, 2020."
799,Austria,"Mar 16, 2020","As of 16 March, nationwide, homes may only be left for one of the following reasons:[19]
urgently necessary professional activities
necessary purchases (groceries or medication)
assisting other people
outside walks, alone or in company of people living in the same household
Officials stated that those restrictions are being actively enforced by the police."
697,US:Washington,"Mar 16, 2020",$5 million in grocery vouchers for families impacted by COVID-19[
0,Austria,"Mar 16, 2020",On 10 March 2020 government announced that all universities will close their classes at the latest by 16 March.
380,Finland,"Mar 16, 2020","Outsiders are forbidden from entering healthcare facilities and hospitals, excluding relatives of critically ill people and children"
409,Hungary,"Mar 16, 2020",All Budapest districts will provide care services for children who cannot be placed elsewhere
414,Lithuania,"Mar 16, 2020",All indoor and outdoor public events cancelled.
415,Lithuania,"Mar 16, 2020","The whole country is in quarantine.    were closed for foreigners regardless of means of transport, excluding cargo and special transport; all international outbound passenger travel was prohibited."
420,Monaco,"Mar 16, 2020","All educational institutions are closed, including pre-chools"
423,Georgia,"Mar 16, 2020","On 16 March, the spokesperson of the Government of Georgia Irakli Chikovani announced special measures and recommendations. The government of Georgia banned entrance to Georgia for any foreign nationals for the next two weeks."
429,Georgia,"Mar 16, 2020",The government disseminated a special sms to all phones in Georgia informing population about measures and recommendations.
430,Georgia,"Mar 16, 2020",The Coordination Council recommended all elderly citizens of Georgia to avoid mass gatherings and isolate themselves.
438,Greece,"Mar 16, 2020","On the same day, two villages in Western Macedonia, Damaskinia and Dragasia, were quarantined after several cases among their residents were confirmed. The entry and exit to and from the villages was banned, allowing only medical staff and municipal staff to supply them with drugs and food."
440,Iceland,"Mar 16, 2020","To 16 March, no official social distancing measures or limitations or bans on public gatherings are in effect.[26] However, organisers cancelled or postponed a number of upcoming events, including the annual conference of the School of Humanities of the University of Iceland, Hugvísindaþing, which was set to have taken place on 13 and 14 March."
441,Iceland,"Mar 16, 2020","At 11:00 on 13 March, it was announced at a press conference that universities and secondary schools would be closing as of Monday 16 March, on which day a ban on public gatherings of over 100 would be put in place"
443,Greece,"Mar 16, 2020","On 16 March, Greece closed its borders with Albania and North Macedonia, deciding to suspend all road, sea and air links with these countries, while only permitting the transportation of goods and the entry of Greek nationals and residents. The suspension of ferry services to and from Italy, air links to Spain, as well as the prohibition of all cruise ships and sailboats docking in Greek ports was also decided."
455,Iceland,"Mar 16, 2020",universities and secondaries schools closed for four weeks. it was announced on 13 March that all schools in the Reykjavík area would be closed on 16 March in order to prepare
482,Turkey,"Mar 16, 2020",Sports matches without spectators.
485,Turkey,"Mar 16, 2020",Nationwide ban on prayer gatherings in mosques
486,Turkey,"Mar 16, 2020","Primary schools, middle schools, and high schools closed."
487,Turkey,"Mar 16, 2020",Universities closed.
493,Portugal,"Mar 16, 2020",Prime Minister António Costa decreed the closure of all public and private educational establishments from 16 March until 9 April at least.
503,United States,"Mar 16, 2020",Public health officials on Wednesday issued a moratorium on all large-scale events in San Francisco of >1000 attendees
504,Slovakia,"Mar 16, 2020","The crisis staff will recommend all public transport operators and the owners of public buildings and shops allow entrance only to people wearing some protective equipment that covers their face, i.e. masks or scarfs."
505,United States,"Mar 16, 2020",Shelter in place order issued for the Bay Area. Exceptions for necessary services and taking walks while staying at least 6 feet from other residents
506,Portugal,"Mar 16, 2020",Portugal suspended on Monday all passenger air and rail traffic with hard-hit Spain until April 15.
515,Lithuania,"Mar 16, 2020","All shops and businesses excluding grocery shops, pharmacies and veterinary pharmacies were closed; all restaurants and bars were closed,"
516,Slovakia,"Mar 16, 2020","Sports, cultural and public events, including religious services, have been banned for the whole territory of Slovakia"
520,Serbia,"Mar 16, 2020","All nurseries, schools and universities closed"
521,Slovakia,"Mar 16, 2020","All nurseries, schools and universities closed"
528,Norway,"Mar 16, 2020",On 16 March travel ban was extended to all borders of Norway and Nordic non-Norwegian citizens.
540,Switzerland,"Mar 16, 2020","the closure of bars, shops and other gathering places"
549,Germany,"Mar 16, 2020","shut down the borders with France, Switzerland, Austria, Denmark and Luxembourg. The measure would begin on Monday and the transportation of goods and commuters would be exempt"
413,Luxembourg,"Mar 16, 2020","All schools closed, including pre-schools"
408,Hungary,"Mar 16, 2020",passengers will not be allowed to board buses using the front door
559,Germany,"Mar 16, 2020",Germany declared a state of emergency
405,Hungary,"Mar 16, 2020",Budapest Zoo and Botanical Garden as well as every thermal baths will remain closed from 16th March
3,United Kingdom,"Mar 16, 2020","If one person in any household has a persistent cough or fever, everyone living there must stay at home for 14 days"
4,United Kingdom,"Mar 16, 2020","By the weekend, those with the most serious health conditions must be ""largely shielded from social contact for around 12 weeks"""
5,United Kingdom,"Mar 16, 2020","Everyone should avoid gatherings with friends and family, as well as large gatherings and crowded places, such as pubs, clubs and theatres"
74,Slovenia,"Mar 16, 2020",all educational institutions are closed
80,Slovenia,"Mar 16, 2020",The government closed all restaurants and bars
83,Slovenia,"Mar 16, 2020","The provision and sale of goods and services directly to consumers in the territory of the Republic of Slovenia was temporarily banned on 16 March. These include accommodation, catering, wellness, sports and recreational, cinematographic, cultural, hairdressing, cosmetics and pedicure services, including gaming and other similar activities."
84,Slovenia,"Mar 16, 2020","The Government of the Republic of Slovenia decided to change the method of monitoring the spread of novel coronavirus. People with respiratory infections not requiring hospital care will no longer be tested, but the situation will be assessed on the basis of the number of people who become ill."
282,Romania,"Mar 16, 2020",Emergency state was declared.
285,France,"Mar 16, 2020","French schools, universities and crèches will be shut from Monday due to the coronavirus outbreak"
290,Luxembourg,"Mar 16, 2020","Meanwhile, Luxembourg’s Health Minister Paulette Lenert announced that all schools in the country will be closed as of March 16 until March 27."
292,Albania,"Mar 16, 2020","Albania will close schools and ban public gatherings for two weeks after doctors confirmed the first two cases of the novel coronavirus on Monday, the prime minister said."
293,Andorra,"Mar 16, 2020",The Government announced that it will close all schools from March 16.
305,Spain,"Mar 16, 2020","Basque elections, scheduled for 5 April, are delayed until the crisis is overcomeg"
317,Spain,"Mar 16, 2020","Galician elections, scheduled also for 5 April, are delayed until the crisis is overcome."
327,Belgium,"Mar 16, 2020",On March 15th it became clear that the masks had not been delivered on time[13] and Mrs De Block came with the news on March 16th that fraud was involved in the order by her department of 5 million masks[14].
333,Belarus,"Mar 16, 2020","On 16 March, the healthy ministry confirmed that the number of cases reached 36."
361,Denmark,"Mar 16, 2020","Starting on 16 March, all primary schools, daycare and similar places will be closed for two weeks."
